,LocationID,PUcount,DOcount,TOTALcount,zone,borough,X,Y
61,62,0.0,16.0,16.0,Crown Heights South,Brooklyn,-73.9492699670747,40.667089560726104
62,63,0.0,2.0,2.0,Cypress Hills,Brooklyn,-73.8776764323789,40.6848101947076
63,64,0.0,5.0,5.0,Douglaston,Queens,-73.7313921625056,40.760631276033
64,65,7.0,50.0,57.0,Downtown Brooklyn/MetroTech,Brooklyn,-73.9855710635353,40.6953726093294
65,66,2.0,53.0,55.0,DUMBO/Vinegar Hill,Brooklyn,-73.9863827475546,40.701732471687
66,67,0.0,2.0,2.0,Dyker Heights,Brooklyn,-74.0147358711929,40.6184544072203
67,68,142.0,573.0,715.0,East Chelsea,Manhattan,-73.9999401565074,40.7483972248318
68,69,0.0,10.0,10.0,East Concourse/Concourse Village,Bronx,-73.9153662202336,40.8306076776139
69,70,0.0,8.0,8.0,East Elmhurst,Queens,-73.86840291436441,40.7639478203254
70,71,0.0,7.0,7.0,East Flatbush/Farragut,Brooklyn,-73.93773452015779,40.6439285192804
71,72,1.0,4.0,5.0,East Flatbush/Remsen Village,Brooklyn,-73.9202100548833,40.6524606311874
72,73,0.0,3.0,3.0,East Flushing,Queens,-73.8065843331469,40.753697486945896
73,74,29.0,221.0,250.0,East Harlem North,Manhattan,-73.9383104968462,40.8055655654775
74,75,50.0,361.0,411.0,East Harlem South,Manhattan,-73.9449566676846,40.7906501597646
75,76,0.0,6.0,6.0,East New York,Brooklyn,-73.8784173669943,40.65868630446621
76,77,0.0,1.0,1.0,East New York/Pennsylvania Avenue,Brooklyn,-73.8957171569753,40.667701874425795
77,78,0.0,8.0,8.0,East Tremont,Bronx,-73.88664559406891,40.8460302771125
78,79,145.0,655.0,800.0,East Village,Manhattan,-73.9852141243977,40.7279442789046
79,80,2.0,60.0,62.0,East Williamsburg,Brooklyn,-73.94232930719009,40.7144695745871
80,81,1.0,2.0,3.0,Eastchester,Bronx,-73.8455325663154,40.87735882816371
81,82,4.0,34.0,38.0,Elmhurst,Queens,-73.8723440095934,40.738463920367295
82,83,2.0,10.0,12.0,Elmhurst/Maspeth,Queens,-73.889221829475,40.7401456031773
83,84,0.0,0.0,0.0,Eltingville/Annadale/Prince's Bay,Staten Island,-74.17393732693841,40.5320172010873
84,85,1.0,2.0,3.0,Erasmus,Brooklyn,-73.95220883684641,40.6472549665241
85,86,0.0,2.0,2.0,Far Rockaway,Queens,-73.7541867292922,40.6025539265615
86,87,65.0,206.0,271.0,Financial District North,Manhattan,-74.0078121163865,40.706659617356
87,88,37.0,110.0,147.0,Financial District South,Manhattan,-74.01130777063679,40.7033938017209
88,89,1.0,32.0,33.0,Flatbush/Ditmas Park,Brooklyn,-73.9626937337469,40.64098273381
89,90,146.0,444.0,590.0,Flatiron,Manhattan,-73.9967775123964,40.7425461606612
90,91,0.0,8.0,8.0,Flatlands,Brooklyn,-73.932543590688,40.6273899924426
91,92,0.0,15.0,15.0,Flushing,Queens,-73.8304471275476,40.7641272834135
92,93,0.0,7.0,7.0,Flushing Meadows-Corona Park,Queens,-73.84189275500859,40.7392346574674
93,94,0.0,3.0,3.0,Fordham South,Bronx,-73.900591010865,40.858260764359606
94,95,1.0,43.0,44.0,Forest Hills,Queens,-73.84821993627051,40.723465272359704
95,96,0.0,1.0,1.0,Forest Park/Highland Park,Queens,-73.8760122181239,40.6957609903045
96,97,6.0,54.0,60.0,Fort Greene,Brooklyn,-73.975576580035,40.6906156556941
97,98,0.0,7.0,7.0,Fresh Meadows,Queens,-73.7795502346253,40.7338412186621
